Interactions;Followers;Following;Total likes;Username;Display name;bio;authorMeta/verified;jumlah video;jumlah orang yang menyimpan;jumlah komentar;Waktu mengupload;Jumlah like;efek yang digunakan;hashtag 0;deskripsi hashtag 0;hashtag 1;hashtag 2;hashtag 3;hashtag 4;hashtag 5;hashtag 6;hashtag 7;hashtags/8/name;hashtags/9/name;hashtags/10/name;hashtags/11/name;hashtags/12/name;hashtags/13/name;hashtags/14/name;hashtags/15/name;hashtags/16/name;hashtags/17/name;hashtags/18/name;Apakah menggunakan ad?;mentions/0;mentions/1;Artis musik;music;musicMeta/musicOriginal;views;share;caption;durasi video;videoMeta/height;webVideoUrl
503;73500;31;115100;bajukiloan;bajukiloan;"Live Setiap Hari
20.00 -  05.00 WIB
Chekout Langsung Keranjang Kuning
⬇️⬇️⬇️⬇️⬇️";FALSE;452;87;6;05/07/2023 18.51;291;Flora;bajukorea;;bajukoreamurah;bajuonlineshopmurah;paketusahaimport;thriftingbukankalengkaleng;bajukiloan;ballsegel;fypシ;;;;;;;;;;;;FALSE;;;SIL;suara asli - Scorpio🏴‍☠️;TRUE;60700;27;GEMOY GEMOY YA CARDINYA KAYA KAMU😍🥰 JOIN DI LIVE YUK GAES🥰 #bajukorea #bajukoreamurah #bajuonlineshopmurah #paketusahaimport #thriftingbukankalengkaleng #bajukiloan #ballsegel #fypシ ;12;1024;https://www.tiktok.com/@bajukiloan/video/7252300808052657414
399;182;131;1151;insiderspath;insiders;Temukan barang impianmu!!🌾🔥😍;FALSE;157;3;0;13/04/2024 02.49;23;;rekomendasi;;cardigan;cardiganrajut;cardiganoutfit;murah;fashion;outfitideas;cardiganmurah;fypシ;xyzbca;masukberanda;;;;;;;;;FALSE;;;THE POWER OF BABU🇹🇼🙌🔥🥭;suara asli - FUEL Indramayu Ndablegg 🥭🤘🔥;TRUE;711;0;Sapa disini cari cardigam murah🫣 #rekomendasi #cardigan #cardiganrajut #cardiganoutfit #murah #fashion #outfitideas #cardiganmurah #fypシ #xyzbca #masukberanda ;14;1024;https://www.tiktok.com/@insiderspath/video/7357070067214896389
4046;3975;637;112800;aprilina.lina;Aprilina.lina;"🌸Spall Spill Produk🌸
Toserba & Jalan jalan
Barang trending, Real pict 100%";FALSE;2141;11;0;21/04/2024 06.29;26;;cardiganrajut;;cardiganwanita;cardigankekinian;cardiganmurah;outfitideas;;;;;;;;;;;;;;;FALSE;;;𓆩𝑴𝑶𝑺𝑻𝑨𝑭𝑨𓆪;original sound;TRUE;4284;7;Cardigan rajut harus dimiliki😍#cardiganrajut #cardiganwanita #cardigankekinian #cardiganmurah #outfitideas ;19;1024;https://www.tiktok.com/@aprilina.lina/video/7360095537246391557
1532;8712;255;380900;inndriiii;Indri ᥫ᭡;"Spill link klik disini👇🏻
kalo gabisa cek link di ig ya👇🏻";FALSE;288;10300;41;12/12/2023 11.07;49300;;cardiganlucu;;cardiganmurah;;;;;;;;;;;;;;;;;;FALSE;;;PONCHET;พี่ชอบหนูที่สุดเลย (I Like You The Most) Feat.VARINZ - Speed Up Version;FALSE;704500;307;Cute banget😫 #cardiganlucu #cardiganmurah ;19;1024;https://www.tiktok.com/@inndriiii/video/7311555070330473734
77;316;5;6870;flowy.04;Racun Preloved 🛒;"preloved start from 15k !
🌸✨🦋🥰🧚
shopee : prelovedd.princess";FALSE;49;238;4;07/02/2023 23.17;451;;cardiganrajut;;cardiganmurah;cardigankorea;cardiganoutfit;tiktokshopindonesian;tiktokshopindonesiafyp;;;;;;;;;;;;;;FALSE;;;PAIN:(;KALO MAU PAKE JANGAN LUPA Ib nya ya knltl;TRUE;81200;55;cardigan Korean style dibawah 100k 😝  #cardiganrajut #cardiganmurah #cardigankorea #cardiganoutfit #tiktokshopindonesian #tiktokshopindonesiafyp ;11;1024;https://www.tiktok.com/@flowy.04/video/7197448898103856411
2211;724;1450;2565;inofashion.id;inofashion;Fashion and Aksesoris;FALSE;272;59;1;20/12/2023 09.04;302;;cardigan;;cardiganrajut;cardiganmurah;cardiganoutfit;;;;;;;;;;;;;;;;FALSE;;;Oki Fvnky;Dj Harga Diriku;FALSE;46900;4;Cardigan Kekinian! #cardigan #cardiganrajut #cardiganmurah #cardiganoutfit ;21;1024;https://www.tiktok.com/@inofashion.id/video/7314492012223417606
1065;9354;94;108300;khiliyaaa;Miskhiliya🕊️;"Spall spill outfit 💃🏻
45kg / 150cm
Join Live Setiap Hari !!!";FALSE;318;27;4;30/04/2024 20.35;28;;airacardiganrajut;;cardigan;cardiganmurah;outfit;cardigankorea;;;;;;;;;;;;;;;FALSE;;;greeedyari;we cant be friends;TRUE;3704;11;Restok lagi cardigan viral best seller cuma 70 ribuan aja !!! Co sekarang sebelum soldout 😍  #airacardiganrajut #cardigan #cardiganmurah #outfit #cardigankorea ;20;1024;https://www.tiktok.com/@khiliyaaa/video/7363653231962115333
23500;193500;419;4000000;chrystiannata;Chrystian Nata;"your favorite korean boy
IG: @chrystiannata

⬇️ SPILL ⬇️";FALSE;624;544;16;10/06/2022 19.32;2316;;koreanstyle;Kdrama fever-eyo? Show us your best #KoreanStyle juseyo!;cardigan;gayaditiktok;outfits;fashion;fashiontiktok;;;;;;;;;;;;;;FALSE;;;abel;better than gold speed up;TRUE;48400;21;Cardigan ala korea termurah! Link produk di bio no. 9✨ #koreanstyle #cardigan #gayaditiktok #outfits #fashion #fashiontiktok;9;1024;https://www.tiktok.com/@chrystiannata/video/7107588372054428955
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;63;4;06/12/2023 17.01;181;makeup;knitpremium;;cardiganrajut;cardiganpremium;rajutmurah;;;;;;;;;;;;;;;;FALSE;;;Phoebe;original sound;TRUE;22000;15;link no.4 bestie😍#knitpremium #cardiganrajut #cardiganpremium #rajutmurah ;12;1024;https://www.tiktok.com/@newshoppeland/video/7309419627241540869
6023;95000;272;2300000;lvblackwell;Liv 🤍  - everyday style;"style, beauty + life
IG: @lv_blackwell
Contact: liv@morganmanagement.co.uk";FALSE;1772;8;3;23/05/2024 00.14;58;;pinterestoutfit;;pinterestinspired;getthelook;sandaloutfit;;;;;;;;;;;;;;;;FALSE;;;Liv 🤍  - everyday style;original sound;TRUE;1244;0;Day 6 📌 Pinterest inspired spring outfits - styling the dad sandal #pinterestoutfit #pinterestinspired #getthelook #sandaloutfit ;47;1024;https://www.tiktok.com/@lvblackwell/video/7371873478066179360
5;93;0;597;cardiganpanjang;TETI ROKENTI SHOP;Balzer Cardigan Panjang Murah Berkualitas;FALSE;75;0;0;29/09/2023 03.04;3;;;;cardigan;cardiganwanita;blazerwanita;cardiganmurah;longblazer;longcardigan;cardiganpanjang;;;;;;;;;;;;FALSE;@trisuharti35;;TETI ROKENTI SHOP;suara asli - Cardigan Panjang;TRUE;272;0;Membalas @trisuharti35 Cardigan Blazer kekinian harga murah, yuk pesan sekarang juga. #cardigan #cardiganwanita #blazerwanita #cardiganmurah #longblazer #longcardigan #cardiganpanjang ;15;1024;https://www.tiktok.com/@cardiganpanjang/video/7283970173252537606
892;2077;64;130300;girllphar0s;shl🦄🪱;Yang mau keracunan klik keranjang kuning🥰;FALSE;385;1092;3;08/03/2024 16.53;2663;;;;cardiganrajut;cardigan;rekomendasiootd;baguspollllll🤗;fyp;;;;;;;;;;;;;;FALSE;@dulunyasmanjul;;MEYY;Pretty (Sped Up);FALSE;86200;74;Membalas @dulunyasmanjul #cardiganrajut #cardigan #rekomendasiootd #baguspollllll🤗 #fyp ;15;1024;https://www.tiktok.com/@girllphar0s/video/7343928581384326405
3172;1172;503;2523;chewytoffee333;Ryota;@;FALSE;10;85;1;01/09/2023 11.39;221;;cardigan;;vest;cardiganvest;vneck;foryourpage;foryou;recostiktokfinds;fypシ;fyp;tiktokfinds;;;;;;;;;;FALSE;;;ilhamhm;suara asli - am;TRUE;33300;17;Cardigan vest sleeveless outfit for men #cardigan #vest #cardiganvest #Vneck #foryourpage #foryou #recostiktokfinds #fypシ #fyp #tiktokfinds ;10;1024;https://www.tiktok.com/@chewytoffee333/video/7273712457749662982
3294;113000;67;8300000;gabrielairn;ig: gabrielairene;"contact thru ig for any inquiries❤️
beli disini//join group spill outfit!👇🏻";FALSE;530;6854;213;06/06/2021 16.33;43700;;racunshopee;;racunintiktok;66rumahhobisale;nyanyiwithpinksweats;atomekittens;;;;;;;;;;;;;;;FALSE;;;YT : Ikyy Pahlevii;original sound - YT : Ikyy Pahlevii;TRUE;377900;315;gada obat emang murah tp sebagus ini😭 #racunshopee #racunintiktok #66rumahhobisale #NyanyiWithPinkSweats #AtomeKittens;10;960;https://www.tiktok.com/@gabrielairn/video/6970611663183662337
6200;10800;96;1700000;uci.eee;Uci.eee ૮₍ ˶ᵔ ᵕ ᵔ˶ ₎ა;"Bussines = 085724132933
curi vt rezeki tidak berkah = denda 10 jt";FALSE;1404;20400;100;05/02/2023 14.04;103000;;cardigan;;cardiganmurah;rekomendasicardigan;;;;;;;;;;;;;;;;;FALSE;;;𝙅𝘿.𝙏𝙀𝙈𝙋𝙇𝘼𝙏𝙀;suara asli - 𝙅𝘿.𝙏𝙀𝙈𝙋𝙇𝘼𝙏𝙀;TRUE;1100000;944;Secakep ini cuma 40 ribuuu🥹#cardigan #cardiganmurah #rekomendasicardigan ;10;1024;https://www.tiktok.com/@uci.eee/video/7196564043329490202
4718;1161;3;3274;lingceuu;Lingce_Rahma;"✨ OUTFIT IDEAS ✨

SPILLLL ?
👇🏻👇🏻👇🏻";FALSE;69;28;2;19/09/2023 16.20;91;;fashion;;cardigan;cardy;;;;;;;;;;;;;;;;;FALSE;;;moon;bunyi asal - haa;TRUE;8194;6;Approve 🫶 jangan salah beli yaa guys karna ada yang murah tapi bahan tipis 🥰 . . #fashion #cardigan #cardy ;18;1024;https://www.tiktok.com/@lingceuu/video/7280464531334237445
47500;531;189;6949;diadem.yangchie;Yang;yang-su;FALSE;57;27;4;13/09/2023 16.33;149;;ootd;What's your #OOTD?;mensstyle;fashioninspo;;;;;;;;;;;;;;;;;FALSE;;;Travis Scott;FE!N (feat. Playboi Carti);FALSE;18700;6;#ootd #mensstyle #fashioninspo ;14;1024;https://www.tiktok.com/@diadem.yangchie/video/7278241166435323141
978;5885;25;36500;outfitcewek.murah;𝐑𝐀𝐂𝐔𝐍 𝚃𝚒𝚔𝚃𝚘𝚔𝚂𝚑𝚘p;"☆Random Post Khusus Produk Murah Pilihan☆
Check Out? Klik Keranjang dibawah
👇";FALSE;172;4187;226;31/07/2022 14.40;19300;;cardigan;;cardiganrajut;cardiganmurah;rajut;koreanstyle;batmanbangkit;bismillahfyp;fyp;fypシ;racunintiktok;xyzbca;;;;;;;;;FALSE;@Kang;;XVX;original sound - XVX;TRUE;1300000;1328;Lagi Flash Sale, Baju Cardigan Rajut Cuma 30k. #cardigan #cardiganrajut #cardiganmurah #rajut #koreanstyle #batmanbangkit #bismillahfyp #fyp #fypシ #racunintiktok #xyzbca @Kang Spill-nim;11;1024;https://www.tiktok.com/@outfitcewek.murah/video/7126438209055116570
3224;386;68;155800;aftiradiun;meyesfz;"suka jajan online dan spill ootd👇🏼

♡( •ॢ◡-ॢ)✧˖° ♡";FALSE;138;522;11;06/02/2024 10.22;1192;;ootd;What's your #OOTD?;ootdhijab;rekomendasioutfit;cardigan;cardiganrajut;peponi;rajutmurah;fitcheck;fyp;;;;;;;;;;;FALSE;;;фрози & joyful;bounce (i just wanna dance);FALSE;78300;26;cuaca kayak gini emang cocoknya pakai cardigan, simple tapi ttp keliatan anggun🧏🏻‍♀️🌷 #ootd #ootdhijab #rekomendasioutfit #cardigan #cardiganrajut #peponi #rajutmurah #fitcheck #fyp ;13;1024;https://www.tiktok.com/@aftiradiun/video/7332324115354750214
1938;960;267;6241;spilledbynau;nau ₊˚⊹ ♡;"FASHION & CUTE STUFFS 𓇢♡
53kg / 158cm 
✿LINK IN BIO↓ ʚ♡⃛ɞ
☾⋆𓃠⁺🎧✧∘༘⋆🌷🫧⊹𐐪𐑂";FALSE;82;198;15;27/06/2023 17.11;707;;cardigancrop;;croppedcardigan;cardiganoutfit;cardiganrajut;cardigan;cardiganmurah;outfitwanita;ootdinspo;shopinkae;ootdhijabstyle;ootdfashion;;;;;;;;;FALSE;;;thuy;universe (sped up);FALSE;61600;118;Cardigan crop tergemash🌸🪞🫧 otw mau punya semua warna✨🩰 super lucuuu banget buat dijadiin outer kamuuu (๑˃̵ᴗ˂̵) Cr: shopinkae #cardigancrop #croppedcardigan #cardiganoutfit #cardiganrajut #cardigan #cardiganmurah #outfitwanita #ootdinspo #shopinkae #ootdhijabstyle #ootdfashion  ;7;1024;https://www.tiktok.com/@spilledbynau/video/7249306529730563333
6200;10800;96;1700000;uci.eee;Uci.eee ૮₍ ˶ᵔ ᵕ ᵔ˶ ₎ა;"Bussines = 085724132933
curi vt rezeki tidak berkah = denda 10 jt";FALSE;1404;9189;66;22/12/2023 10.19;29200;;cardiganstripe;;cardiganrajutmurah;;;;;;;;;;;;;;;;;;FALSE;;;ale;suara asli - ale;TRUE;816100;310;#cardiganstripe #cardiganrajutmurah ;11;1024;https://www.tiktok.com/@uci.eee/video/7315253396901088518
1234;158;5;5367;jualanrandommm;✩°｡ 🎀⋆⸜ 🎧✮;✨Allahumma Sholli 'Ala Sayyidina Muhammad Wa Ala Ali Sayyidina Muhammad✨;FALSE;119;1215;19;04/09/2023 13.08;2372;;cardigankoreanstyle;;cardigancrop;cardigankorea;cardigan;fyp;fypシ;;;;;;;;;;;;;;FALSE;;;user39237861604;suara asli - Hajii_Ijummm🚀;TRUE;431800;470;#cardigankoreanstyle #cardigancrop #cardigankorea #cardigan #fyp #fypシ ;9;1024;https://www.tiktok.com/@jualanrandommm/video/7274848727158770949
